occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
897529,Ignavusaurus,,,,201.3,199.3,Quacha's Nek,28.383333,-30.066668,Saurischia,,ignavusaurus,ignavusaurus-897529,unknown,0.4,unknown,2.0,200.3,True,False,False,Quacha's Nek,S,E,0.5,0.5,0.5,1,ignavusaurus,silhouette,,,,
897618,Guaibasaurus,herbivorous,small theropod,1.8,228.0,208.5,Rio Grande do Sul,-52.84111,-29.681389,Saurischia,Guaibasauridae,guaibasaurus,guaibasaurus-897618,herbivorous,0.2,theropod,19.5,218.25,True,True,True,Rio Grande do Sul,S,W,0.35,0.55,0.9,4,guaibasaurus,silhouette,,,,0.039073806078147616
899613,Avimimus,omnivorous,small theropod,1.5,83.5,66.0,Omnogov,107.783333,43.575001,Saurischia,,avimimus,avimimus-899613,omnivorous,0.6,theropod,17.5,74.75,True,True,True,Omnogov,N,E,0.65,0.55,0.9,3,avimimus,silhouette,,,,0.03039073806078148
899622,Tarbosaurus,carnivorous,large theropod,10.0,83.5,66.0,Omnogov,100.01667,43.866669,Saurischia,Tyrannosauridae,tarbosaurus,tarbosaurus-899622,carnivorous,1.0,theropod,17.5,74.75,True,True,True,Omnogov,N,E,1.0,0.55,0.9,4,tarbosaurus,silhouette,,,,0.27641099855282203
899629,Tarbosaurus,carnivorous,large theropod,10.0,83.5,66.0,Omnogov,99.98333,43.816666,Saurischia,Tyrannosauridae,tarbosaurus,tarbosaurus-899629,carnivorous,1.0,theropod,17.5,74.75,True,True,True,Omnogov,N,E,1.0,0.55,0.9,4,tarbosaurus,silhouette,,,,0.27641099855282203
900834,Xixiposaurus,,,,201.3,190.8,Yunnan,102.320404,25.592993,Saurischia,Plateosauridae,xixiposaurus,xixiposaurus-900834,unknown,0.4,unknown,10.5,196.05,True,False,False,Yunnan,N,E,0.5,0.5,0.5,2,xixiposaurus,silhouette,,,,
900933,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Montana,-106.099998,47.799999,Saurischia,Troodontidae,paronychodon,paronychodon-900933,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Montana,N,W,1.0,0.55,0.9,4,paronychodon,silhouette,,,,0.1316931982633864
900934,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Wyoming,-104.533333,43.183334,Saurischia,Troodontidae,paronychodon,paronychodon-900934,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,paronychodon,silhouette,,,,0.1316931982633864
900936,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Montana,-106.199997,47.650002,Saurischia,Troodontidae,paronychodon,paronychodon-900936,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Montana,N,W,1.0,0.55,0.9,4,paronychodon,silhouette,,,,0.1316931982633864
900937,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Montana,-106.183296,47.616699,Saurischia,Troodontidae,paronychodon,paronychodon-900937,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Montana,N,W,1.0,0.55,0.9,4,paronychodon,silhouette,,,,0.1316931982633864
