name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Ruyangosaurus,ruyangosaurus,Ruyangosaurus,1,862206,unknown,,unknown,,100.5,89.8,95.15,10.700000000000003,Saurischia,,Henan,34.112,112.589302,1,True,False,False,1,0.5,0.5,0.5,ruyangosaurus,0.4,,ruyangosaurus,silhouette,,,
Sahaliyania,sahaliyania,Sahaliyania,1,735997,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Ornithischia,Hadrosauridae,Heilongjiang,48.394722,130.145828,1,True,False,False,2,0.5,0.5,0.5,sahaliyania,0.4,,sahaliyania,silhouette,,,
Saichania,saichania,Saichania,3,404798,herbivorous,armored dinosaur,armored,6.6,83.6,70.6,77.85,11.5,Ornithischia,Ankylosauridae,Omnogov,43.316387,99.82917,1,True,True,True,4,0.35,1.0,0.3,saichania,0.2,0.17800289435600578,saichania,silhouette,,,
Salfitichnus,salfitichnus,Salfitichnus,1,457796,unknown,,unknown,,72.1,66.0,69.05,6.099999999999994,Saurischia,,Salta,-25.5,-66.0,1,True,False,False,1,0.5,0.5,0.5,salfitichnus,0.4,,salfitichnus,silhouette,,,
Saltasaurus,saltasaurus,Saltasaurus,1,457534,herbivorous,sauropod,sauropod,12.0,70.6,66.0,68.3,4.599999999999994,Saurischia,Saltasauridae,Salta,-26.066668,-65.366669,1,True,True,True,4,0.35,0.8,0.25,saltasaurus,0.2,0.33429811866859627,saltasaurus,silhouette,,,
Saltopoides,saltopoides,Saltopoides,1,655627,unknown,,unknown,,208.5,201.3,204.9,7.199999999999989,Saurischia,Anchisauripodidae,Pays de la Loire,46.436764,-1.669005,1,True,False,False,2,0.5,0.5,0.5,saltopoides,0.4,,saltopoides,silhouette,,,
Samanadrinda,samanadrinda,Samanadrinda,1,747142,unknown,,unknown,,174.1,163.5,168.8,10.599999999999994,Saurischia,,Punjab,32.924999,70.150002,1,True,False,False,1,0.5,0.5,0.5,samanadrinda,0.4,,samanadrinda,silhouette,,,
Sanjuansaurus,sanjuansaurus,Sanjuansaurus,1,893426,unknown,,unknown,,237.0,228.0,232.5,9.0,Saurischia,Herrerasauridae,San Juan,-30.119198,-67.897858,1,True,False,False,2,0.5,0.5,0.5,sanjuansaurus,0.4,,sanjuansaurus,silhouette,,,
Sanpasaurus,sanpasaurus,Sanpasaurus,3,1108351,unknown,,unknown,,182.7,174.1,178.39999999999998,8.599999999999994,Saurischia,,Sichuan,29.549822,104.61821,1,True,False,False,1,0.5,0.5,0.5,sanpasaurus,0.4,,sanpasaurus,silhouette,,,
Santanaraptor,santanaraptor,Santanaraptor,1,968544,unknown,,unknown,,112.03,109.0,110.515,3.030000000000001,Saurischia,,Ceará,-7.183333,-39.733334,1,True,False,False,1,0.5,0.5,0.5,santanaraptor,0.4,,santanaraptor,silhouette,,,
