name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license,silhouette_type
Noasaurus,noasaurus,Noasaurus,1,457535,carnivorous,small theropod,theropod,1.0,70.6,66.0,68.3,4.599999999999994,Saurischia,Noasauridae,Salta,-26.066668,-65.366669,1,True,True,True,4,1.0,0.55,0.9,noasaurus,1.0,0.0159189580318379,noasaurus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Nodocephalosaurus,nodocephalosaurus,Nodocephalosaurus,5,529518,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ankylosauridae,New Mexico,36.343613,-108.084167,1,True,False,False,2,0.5,0.5,0.5,nodocephalosaurus,0.4,,nodocephalosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nodosaurus,nodosaurus,Nodosaurus,2,220000,herbivorous,armored dinosaur,armored,5.0,99.6,70.6,86.8,9.5,Ornithischia,Nodosauridae,Alberta,46.8109515,-108.7251585,2,True,True,True,4,0.35,1.0,0.3,nodosaurus,0.2,0.1316931982633864,nodosaurus,silhouette,dino_images/images/dinos/armored.png,,,armored
Nomingia,nomingia,Nomingia,1,937808,omnivorous,small theropod,theropod,1.6,72.1,66.0,69.05,6.099999999999994,Saurischia,Oviraptoridae,Omnogov,43.86639,100.011108,1,True,True,True,4,0.65,0.55,0.9,nomingia,0.6,0.0332850940665701,nomingia,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Nopcsaspondylus,nopcsaspondylus,Nopcsaspondylus,1,513385,unknown,,unknown,,99.6,93.5,96.55,6.099999999999994,Saurischia,Rebbachisauridae,Neuquén,-39.514999,-69.249001,1,True,False,False,2,0.5,0.5,0.5,nopcsaspondylus,0.4,,nopcsaspondylus,silhouette,dino_images/images/dinos/general.jpg,,,general
Normanniasaurus,normanniasaurus,Normanniasaurus,2,1110940,unknown,,unknown,,112.03,99.6,105.5575,6.215000000000003,Saurischia,,Seine-Maritime,49.516701,0.1,1,True,False,False,1,0.5,0.5,0.5,normanniasaurus,0.4,,normanniasaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nothronychus,nothronychus,Nothronychus,2,513606,omnivorous,large theropod,theropod,5.3,99.6,89.3,92.925,7.25,Saurischia,Therizinosauridae,New Mexico,36.074583,-110.256805,2,True,True,True,4,0.65,0.55,0.9,nothronychus,0.6,0.1403762662807525,nothronychus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Notocolossus,notocolossus,Notocolossus,2,1310624,unknown,,unknown,,89.3,83.5,86.4,5.799999999999997,Saurischia,,Mendoza,-37.061214,-69.375999,1,True,False,False,1,0.5,0.5,0.5,notocolossus,0.4,,notocolossus,silhouette,dino_images/images/dinos/general.jpg,,,general
Notohypsilophodon,notohypsilophodon,Notohypsilophodon,1,621155,unknown,,unknown,,99.6,89.3,94.45,10.299999999999995,Ornithischia,,Chubut,-44.914669,-69.288971,1,True,False,False,1,0.5,0.5,0.5,notohypsilophodon,0.4,,notohypsilophodon,silhouette,dino_images/images/dinos/general.jpg,,,general
Nqwebasaurus,nqwebasaurus,Nqwebasaurus,1,513197,carnivorous,small theropod,theropod,1.0,145.0,132.9,138.95,12.099999999999994,Saurischia,Compsognathidae,Eastern Cape,-33.416943,25.273056,1,True,True,True,4,1.0,0.55,0.9,nqwebasaurus,1.0,0.0159189580318379,nqwebasaurus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Nuthetes,nuthetes,Nuthetes,6,301076,unknown,,unknown,,145.0,139.8,142.6,4.800000000000011,Saurischia,Dromaeosauridae,England,50.599998,-1.966667,2,True,False,False,2,0.5,0.5,0.5,nuthetes,0.4,,nuthetes,silhouette,dino_images/images/dinos/general.jpg,,,general
Ohmdenosaurus,ohmdenosaurus,Ohmdenosaurus,1,500000,unknown,,unknown,,182.0,175.6,178.8,6.400000000000006,Saurischia,,Baden-Württemberg,48.650002,9.5167,1,True,False,False,1,0.5,0.5,0.5,ohmdenosaurus,0.4,,ohmdenosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Ojoraptorsaurus,ojoraptorsaurus,Ojoraptorsaurus,1,1099040,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Saurischia,Caenagnathidae,New Mexico,36.287422,-108.09536,1,True,False,False,2,0.5,0.5,0.5,ojoraptorsaurus,0.4,,ojoraptorsaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Olorotitan,olorotitan,Olorotitan,1,396864,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Ornithischia,Hadrosauridae,Amur,49.082779,130.859451,1,True,False,False,2,0.5,0.5,0.5,olorotitan,0.4,,olorotitan,silhouette,dino_images/images/dinos/general.jpg,,,general
Omeisaurus,omeisaurus,Omeisaurus,10,474577,herbivorous,sauropod,sauropod,20.0,174.1,145.0,163.65,8.849999999999994,Saurischia,,Sichuan,29.7255555,104.815971,2,True,True,True,3,0.35,0.8,0.25,omeisaurus,0.2,0.5658465991316932,omeisaurus,silhouette,dino_images/images/dinos/long-necked.png,,,long-necked
Oobardjidama,oobardjidama,Oobardjidama,1,1364960,unknown,,unknown,,139.8,125.0,132.4,14.800000000000011,Saurischia,,Western Australia,-17.489502,122.142029,1,True,False,False,1,0.5,0.5,0.5,oobardjidama,0.4,,oobardjidama,silhouette,dino_images/images/dinos/general.jpg,,,general
Oohkotokia,oohkotokia,Oohkotokia,1,1100747,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ankylosauridae,Montana,48.646389,-112.353615,1,True,False,False,2,0.5,0.5,0.5,oohkotokia,0.4,,oohkotokia,silhouette,dino_images/images/dinos/general.jpg,,,general
Opisthocoelicaudia,opisthocoelicaudia,Opisthocoelicaudia,1,387341,herbivorous,sauropod,sauropod,12.0,83.6,66.0,74.8,17.599999999999994,Saurischia,Saltasauridae,Omnogov,43.602501,100.455276,1,True,True,True,4,0.35,0.8,0.25,opisthocoelicaudia,0.2,0.3342981186685962,opisthocoelicaudia,silhouette,dino_images/images/dinos/long-necked.png,,,long-necked
